,term,frequency
758,tode,25
759,schicken,25
760,hätt,25
761,hieb,25
762,mal,25
763,durst,25
764,krank,25
765,stelle,25
766,angesicht,25
767,vielleicht,25
768,verstand,25
769,vorher,25
770,–,25
771,stock,25
772,schüler,25
773,antworteten,25
774,drauf,25
775,straße,25
776,bier,25
777,spinnen,25
778,weib,25
779,mittag,25
780,guckte,25
781,gans,25
782,fischer,25
783,prinz,25
784,hirsch,25
785,ding,25
786,aschenputtel,25
787,art,25
788,acker,25
789,jude,25
790,davor,24
791,kette,24
792,wußten,24
793,gottes,24
794,nächst,24
795,jüngst,24
796,turm,24
797,geschrei,24
798,böses,24
799,blies,24
800,wills,24
801,schönste,24
802,decken,24
803,ists,24
804,setzten,24
805,futter,24
806,schrank,24
807,dienen,24
808,niemals,24
809,danken,24
810,sinn,24
811,bezahlen,24
812,mitte,24
813,gesellen,24
814,reichtum,24
815,königreich,24
816,topf,24
817,blumen,24
818,verwandelt,24
819,auge,24
820,tränen,24
821,stückch,24
822,bemerkte,24
823,lesen,24
824,hätte,24
825,kreuzer,24
826,friederchen,24
827,dreiäuglein,24
828,schlosse,23
829,perlen,23
830,sinken,23
831,versprach,23
832,schüttelte,23
833,bette,23
834,kunst,23
835,vergeblich,23
836,verbrennen,23
837,stücke,23
838,männer,23
839,hört,23
840,hut,23
841,nadel,23
842,knie,23
843,richtig,23
844,bauern,23
845,ließ,23
846,feind,23
847,größt,23
848,stehlen,23
849,vernahm,23
850,umher,23
851,machst,23
852,grab,23
853,ums,23
854,fremd,23
855,hättest,23
856,taten,23
857,gross,23
858,kriegte,23
859,taube,23
860,daumesdick,23
861,erheben,23
862,gänse,23
863,ferdinand,23
864,grund,22
865,tafel,22
866,eisern,22
867,wohnen,22
868,gericht,22
869,anfing,22
870,gehe,22
871,küster,22
872,mitternacht,22
873,aufstehen,22
874,brechen,22
875,diesmal,22
876,solange,22
877,schwer,22
878,besinnen,22
879,sache,22
880,dach,22
881,kindern,22
882,wem,22
883,kannst,22
884,Danach,22
885,dringen,22
886,aße,22
887,unterwegs,22
888,Abends,22
889,schönsten,22
890,rapunzel,22
891,empfangen,22
892,wachsen,22
893,gab,22
894,backen,22
895,en,22
896,hütte,22
897,schwein,22
898,furcht,22
899,fromm,22
900,tanzen,22
901,sattel,22
902,gebe,22
903,aufwachte,22
904,hauptmann,22
905,d,22
906,Hans,22
907,schrecken,22
908,de,22
909,schmecken,21
910,schwieg,21
911,ordentlich,21
912,Alsbald,21
913,verstehen,21
914,mache,21
915,hinzu,21
916,breit,21
917,geraten,21
918,setze,21
919,tieren,21
920,fremden,21
921,hingehen,21
922,ersen,21
923,wert,21
924,dus,21
925,krieg,21
926,fürchtete,21
927,schneiden,21
928,stern,21
929,herd,21
930,fröhlich,21
931,legten,21
932,zauberin,21
933,stach,21
934,schloss,21
935,haufen,21
936,hungrig,21
937,händen,21
938,kohle,21
939,prinzessin,21
940,statt,21
941,handwerk,21
942,freilich,21
943,bunt,21
944,uhr,21
945,bären,21
946,lamm,21
947,bedienten,21
948,einäuglein,21
949,kugel,20
950,geselle,20
951,weh,20
952,sagst,20
953,bloß,20
954,warm,20
955,ältest,20
956,wiederkommen,20
957,erlauben,20
958,teil,20
959,lärm,20
960,schoß,20
961,mitgebracht,20
962,trauer,20
963,überall,20
964,sicher,20
965,becher,20
966,wunderbar,20
967,retten,20
968,ak,20
969,kanns,20
970,zählen,20
